Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 07:33:11,2023-09-29 07:33:25,14.163s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 07:33:25,2023-09-29 07:33:26,0.829s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 07:33:26,2023-09-29 07:33:28,2.415s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Customer Biodata_createcustomer-custo_d931ad""), ""customerid"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:33:28,2023-09-29 07:33:30,1.955s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Salesman ID Salesman ID""))",Chrome 117.0.0.0,,,2023-09-29 07:33:30,2023-09-29 07:33:31,0.591s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_REYNER""))",Chrome 117.0.0.0,,,2023-09-29 07:33:31,2023-09-29 07:33:32,0.592s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Salesman ID_createcustomer-customerre_2602e6""), ""customerName"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:33:32,2023-09-29 07:33:33,1.598s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_PIC_createcustomer-customerregister-c_7d29d8""), ""email"" + randomText + ""@mailinator.com"")",Chrome 117.0.0.0,,,2023-09-29 07:33:33,2023-09-29 07:33:34,0.964s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Email_createcustomer-customerregister_6409b8""), ""city"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:33:34,2023-09-29 07:33:35,0.946s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_City_createcustomer-customerregister-_1096a9""), ""reMark"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:33:35,2023-09-29 07:33:36,1.052s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Remark_createcustomer-customerregiste_e3ba5d""), ""08.178.554.2-123.321"" + randomNum)",Chrome 117.0.0.0,,,2023-09-29 07:33:36,2023-09-29 07:33:37,1.221s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_NPWP_createcustomer-customerregister-_b2e4d8""), ""tier"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:33:37,2023-09-29 07:33:38,1.098s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/textarea_Tier_createcustomer-customerregist_831bae""), ""address1"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:33:38,2023-09-29 07:33:39,1.067s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/textarea_Address_createcustomer-customerreg_2c8b43""), ""address2"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:33:40,2023-09-29 07:33:44,4.746s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Address 2_createcustomer-customerregi_b33ca3""), ""0801"" + randomNum)",Chrome 117.0.0.0,,,2023-09-29 07:33:44,2023-09-29 07:33:45,1.036s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Contact No_createcustomer-customerreg_0f8d35""), ""region"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:33:45,2023-09-29 07:33:46,0.815s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Region_createcustomer-customerregiste_b1824f""), ""province"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:33:46,2023-09-29 07:33:47,1.041s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Province_createcustomer-customerregis_1acb6e""), """")",Chrome 117.0.0.0,,,2023-09-29 07:33:47,2023-09-29 07:33:48,0.937s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/input_Province_createcustomer-customerregis_1acb6e""))",Chrome 117.0.0.0,,,2023-09-29 07:33:48,2023-09-29 07:33:49,0.584s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_JNE Express""))",Chrome 117.0.0.0,,,2023-09-29 07:33:49,2023-09-29 07:33:49,0.586s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Term Of Payment""))",Chrome 117.0.0.0,,,2023-09-29 07:33:49,2023-09-29 07:33:50,0.491s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_NET0""))",Chrome 117.0.0.0,,,2023-09-29 07:33:50,2023-09-29 07:33:50,0.497s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Submit""))",Chrome 117.0.0.0,,,2023-09-29 07:33:50,2023-09-29 07:33:51,1.033s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Yes""))",Chrome 117.0.0.0,,,2023-09-29 07:33:51,2023-09-29 07:33:52,0.580s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-29 07:33:52,2023-09-29 07:33:53,0.713s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 07:33:55,2023-09-29 07:33:55,0.000s,PASSED
,,,,,,,
